source,target,weight
Bossuet,Joly,7
Bossuet,Grantaire,3
Bossuet,MmeHucheloup,1
Joly,Grantaire,2
Joly,MmeHucheloup,1
Grantaire,MmeHucheloup,1
Gueulemer,Babet,6
Gueulemer,Claquesous,4
Gueulemer,Montparnasse,2
Gueulemer,Brujon,3
Babet,Claquesous,4
Babet,Montparnasse,2
Babet,Brujon,3
Claquesous,Montparnasse,2
Claquesous,Brujon,1
Montparnasse,Brujon,1
Child1,Child2,3
