date,author,title
2024-12-04 13:56:10+00:00,Uwe M. Borghoff,The Use of Artificial Intelligence in Military Intelligence: An Experimental Investigation of Added Value in the Analysis Process
2024-12-04 13:17:44+00:00,Guang-Bin Huang,Artificial Intelligence without Restriction Surpassing Human Intelligence with Probability One: Theoretical Insight into Secrets of the Brain with AI Twins of the Brain
2024-12-04 13:17:44+00:00,M. Brandon Westover,Artificial Intelligence without Restriction Surpassing Human Intelligence with Probability One: Theoretical Insight into Secrets of the Brain with AI Twins of the Brain
2024-12-04 13:17:44+00:00,Eng-King Tan,Artificial Intelligence without Restriction Surpassing Human Intelligence with Probability One: Theoretical Insight into Secrets of the Brain with AI Twins of the Brain
2024-12-04 13:17:44+00:00,Haibo Wang,Artificial Intelligence without Restriction Surpassing Human Intelligence with Probability One: Theoretical Insight into Secrets of the Brain with AI Twins of the Brain
2024-12-04 13:17:44+00:00,Dongshun Cui,Artificial Intelligence without Restriction Surpassing Human Intelligence with Probability One: Theoretical Insight into Secrets of the Brain with AI Twins of the Brain
2024-12-04 13:17:44+00:00,Wei-Ying Ma,Artificial Intelligence without Restriction Surpassing Human Intelligence with Probability One: Theoretical Insight into Secrets of the Brain with AI Twins of the Brain
2024-12-04 13:17:44+00:00,Tiantong Wang,Artificial Intelligence without Restriction Surpassing Human Intelligence with Probability One: Theoretical Insight into Secrets of the Brain with AI Twins of the Brain
2024-12-04 13:17:44+00:00,Qi He,Artificial Intelligence without Restriction Surpassing Human Intelligence with Probability One: Theoretical Insight into Secrets of the Brain with AI Twins of the Brain
2024-12-04 13:17:44+00:00,Haikun Wei,Artificial Intelligence without Restriction Surpassing Human Intelligence with Probability One: Theoretical Insight into Secrets of the Brain with AI Twins of the Brain
2024-12-04 13:17:44+00:00,Ning Wang,Artificial Intelligence without Restriction Surpassing Human Intelligence with Probability One: Theoretical Insight into Secrets of the Brain with AI Twins of the Brain
2024-12-04 13:17:44+00:00,Qiyuan Tian,Artificial Intelligence without Restriction Surpassing Human Intelligence with Probability One: Theoretical Insight into Secrets of the Brain with AI Twins of the Brain
2024-12-04 13:17:44+00:00,Kwok-Yan Lam,Artificial Intelligence without Restriction Surpassing Human Intelligence with Probability One: Theoretical Insight into Secrets of the Brain with AI Twins of the Brain
2024-12-04 13:17:44+00:00,Xin Yao,Artificial Intelligence without Restriction Surpassing Human Intelligence with Probability One: Theoretical Insight into Secrets of the Brain with AI Twins of the Brain
2024-12-04 13:17:44+00:00,Tien Yin Wong,Artificial Intelligence without Restriction Surpassing Human Intelligence with Probability One: Theoretical Insight into Secrets of the Brain with AI Twins of the Brain
2024-12-03 13:25:18+00:00,Shai Shalev-Shwartz,Artificial Expert Intelligence through PAC-reasoning
2024-12-03 13:25:18+00:00,Amnon Shashua,Artificial Expert Intelligence through PAC-reasoning
2024-12-03 13:25:18+00:00,Gal Beniamini,Artificial Expert Intelligence through PAC-reasoning
2024-12-03 13:25:18+00:00,Yoav Levine,Artificial Expert Intelligence through PAC-reasoning
2024-12-03 13:25:18+00:00,Or Sharir,Artificial Expert Intelligence through PAC-reasoning
2024-12-03 13:25:18+00:00,Noam Wies,Artificial Expert Intelligence through PAC-reasoning
2024-12-03 13:25:18+00:00,Ido Ben-Shaul,Artificial Expert Intelligence through PAC-reasoning
2024-12-03 13:25:18+00:00,Tomer Nussbaum,Artificial Expert Intelligence through PAC-reasoning
2024-12-03 13:25:18+00:00,Shir Granot Peled,Artificial Expert Intelligence through PAC-reasoning
2024-12-02 12:41:15+00:00,Mridula Vijendran,"Artificial Intelligence for Geometry-Based Feature Extraction, Analysis and Synthesis in Artistic Images: A Survey"
2024-12-02 12:41:15+00:00,Jingjing Deng,"Artificial Intelligence for Geometry-Based Feature Extraction, Analysis and Synthesis in Artistic Images: A Survey"
2024-12-02 12:41:15+00:00,Shuang Chen,"Artificial Intelligence for Geometry-Based Feature Extraction, Analysis and Synthesis in Artistic Images: A Survey"
2024-12-02 12:41:15+00:00,Edmond S. L. Ho,"Artificial Intelligence for Geometry-Based Feature Extraction, Analysis and Synthesis in Artistic Images: A Survey"
2024-12-02 12:41:15+00:00,Hubert P. H. Shum,"Artificial Intelligence for Geometry-Based Feature Extraction, Analysis and Synthesis in Artistic Images: A Survey"
2024-12-02 10:55:38+00:00,Davide Gallon,An overview of diffusion models for generative artificial intelligence
2024-12-02 10:55:38+00:00,Arnulf Jentzen,An overview of diffusion models for generative artificial intelligence
2024-12-02 10:55:38+00:00,Philippe von Wurstemberger,An overview of diffusion models for generative artificial intelligence
2024-11-30 03:08:15+00:00,Martim Veiga,Ethics and Artificial Intelligence Adoption
2024-11-30 03:08:15+00:00,Carlos J. Costa,Ethics and Artificial Intelligence Adoption
2024-11-28 06:56:49+00:00,Ariful Azad,Publication Trends in Artificial Intelligence Conferences: The Rise of Super Prolific Authors
2024-11-28 06:56:49+00:00,Afeefa Banu,Publication Trends in Artificial Intelligence Conferences: The Rise of Super Prolific Authors
2024-11-22 02:55:39+00:00,Nima Dehghani,Bio-inspired AI: Integrating Biological Complexity into Artificial Intelligence
2024-11-22 02:55:39+00:00,Michael Levin,Bio-inspired AI: Integrating Biological Complexity into Artificial Intelligence
2024-11-21 20:26:29+00:00,Mackenzie Weygandt Mathis,Adaptive Intelligence: leveraging insights from adaptive behavior in animals to build flexible AI systems
2024-11-14 03:58:50+00:00,Michael S. Harré,Theory of Mind Enhances Collective Intelligence
2024-11-14 03:58:50+00:00,Catherine Drysdale,Theory of Mind Enhances Collective Intelligence
2024-11-14 03:58:50+00:00,Jaime Ruiz-Serra,Theory of Mind Enhances Collective Intelligence
2024-11-10 10:49:13+00:00,Abhishek Kaushik,"Generating Mixcode Popular Songs with Artificial Intelligence: Concepts, Plans, and Speculations"
2024-11-10 10:49:13+00:00,Kayla Rush,"Generating Mixcode Popular Songs with Artificial Intelligence: Concepts, Plans, and Speculations"
2024-11-08 05:48:41+00:00,Thanh Nguyen Canh,Development of a Human-Robot Interaction Platform for Dual-Arm Robots Based on ROS and Multimodal Artificial Intelligence
2024-11-08 05:48:41+00:00,Ba Phuong Nguyen,Development of a Human-Robot Interaction Platform for Dual-Arm Robots Based on ROS and Multimodal Artificial Intelligence
2024-11-08 05:48:41+00:00,Hong Quan Tran,Development of a Human-Robot Interaction Platform for Dual-Arm Robots Based on ROS and Multimodal Artificial Intelligence
2024-11-08 05:48:41+00:00,Xiem HoangVan,Development of a Human-Robot Interaction Platform for Dual-Arm Robots Based on ROS and Multimodal Artificial Intelligence
2024-11-05 19:04:42+00:00,George Tambouratzis,"AI Horizon Scanning -- White Paper p3395, IEEE-SA. Part III: Technology Watch: a selection of key developments, emerging technologies, and industry trends in Artificial Intelligence"
2024-11-05 19:04:42+00:00,Marina Cortês,"AI Horizon Scanning -- White Paper p3395, IEEE-SA. Part III: Technology Watch: a selection of key developments, emerging technologies, and industry trends in Artificial Intelligence"
2024-11-05 19:04:42+00:00,Andrew R. Liddle,"AI Horizon Scanning -- White Paper p3395, IEEE-SA. Part III: Technology Watch: a selection of key developments, emerging technologies, and industry trends in Artificial Intelligence"
2024-10-29 15:22:45+00:00,Barbara Hoffmann,Vision Paper: Designing Graph Neural Networks in Compliance with the European Artificial Intelligence Act
2024-10-29 15:22:45+00:00,Jana Vatter,Vision Paper: Designing Graph Neural Networks in Compliance with the European Artificial Intelligence Act
2024-10-29 15:22:45+00:00,Ruben Mayer,Vision Paper: Designing Graph Neural Networks in Compliance with the European Artificial Intelligence Act
2024-10-21 12:32:17+00:00,Animesh Kumar,Redefining Finance: The Influence of Artificial Intelligence (AI) and Machine Learning (ML)
2024-10-21 10:12:33+00:00,Yizheng Wang,Artificial intelligence for partial differential equations in computational mechanics: A review
2024-10-21 10:12:33+00:00,Jinshuai Bai,Artificial intelligence for partial differential equations in computational mechanics: A review
2024-10-21 10:12:33+00:00,Zhongya Lin,Artificial intelligence for partial differential equations in computational mechanics: A review
2024-10-21 10:12:33+00:00,Qimin Wang,Artificial intelligence for partial differential equations in computational mechanics: A review
2024-10-21 10:12:33+00:00,Cosmin Anitescu,Artificial intelligence for partial differential equations in computational mechanics: A review
2024-10-21 10:12:33+00:00,Jia Sun,Artificial intelligence for partial differential equations in computational mechanics: A review
2024-10-21 10:12:33+00:00,Mohammad Sadegh Eshaghi,Artificial intelligence for partial differential equations in computational mechanics: A review
2024-10-21 10:12:33+00:00,Yuantong Gu,Artificial intelligence for partial differential equations in computational mechanics: A review
2024-10-21 10:12:33+00:00,Xi-Qiao Feng,Artificial intelligence for partial differential equations in computational mechanics: A review
2024-10-21 10:12:33+00:00,Xiaoying Zhuang,Artificial intelligence for partial differential equations in computational mechanics: A review
2024-10-21 10:12:33+00:00,Timon Rabczuk,Artificial intelligence for partial differential equations in computational mechanics: A review
2024-10-21 10:12:33+00:00,Yinghua Liu,Artificial intelligence for partial differential equations in computational mechanics: A review
2024-10-14 13:39:58+00:00,Serge Dolgikh,The Trap of Presumed Equivalence: Artificial General Intelligence Should Not Be Assessed on the Scale of Human Intelligence
2024-10-10 17:38:38+00:00,Alejandro Tlaie,Using AI Alignment Theory to understand the potential pitfalls of regulatory frameworks
2024-10-10 11:54:14+00:00,Louise McCormack,A Comprehensive Survey and Classification of Evaluation Criteria for Trustworthy Artificial Intelligence
2024-10-10 11:54:14+00:00,Malika Bendechache,A Comprehensive Survey and Classification of Evaluation Criteria for Trustworthy Artificial Intelligence
2024-10-09 17:57:01+00:00,Abdulla Alourani,A Blockchain and Artificial Intelligence based System for Halal Food Traceability
2024-10-09 17:57:01+00:00,Shahnawaz Khan,A Blockchain and Artificial Intelligence based System for Halal Food Traceability
2024-10-08 16:55:51+00:00,Guiyang Hou,Entering Real Social World! Benchmarking the Social Intelligence of Large Language Models from a First-person Perspective
2024-10-08 16:55:51+00:00,Wenqi Zhang,Entering Real Social World! Benchmarking the Social Intelligence of Large Language Models from a First-person Perspective
2024-10-08 16:55:51+00:00,Yongliang Shen,Entering Real Social World! Benchmarking the Social Intelligence of Large Language Models from a First-person Perspective
2024-10-08 16:55:51+00:00,Zeqi Tan,Entering Real Social World! Benchmarking the Social Intelligence of Large Language Models from a First-person Perspective
2024-10-08 16:55:51+00:00,Sihao Shen,Entering Real Social World! Benchmarking the Social Intelligence of Large Language Models from a First-person Perspective
2024-10-08 16:55:51+00:00,Weiming Lu,Entering Real Social World! Benchmarking the Social Intelligence of Large Language Models from a First-person Perspective
2024-10-08 12:34:13+00:00,Michael Pichat,Neuropsychology of AI: Relationship Between Activation Proximity and Categorical Proximity Within Neural Categories of Synthetic Cognition
2024-10-08 12:34:13+00:00,Enola Campoli,Neuropsychology of AI: Relationship Between Activation Proximity and Categorical Proximity Within Neural Categories of Synthetic Cognition
2024-10-08 12:34:13+00:00,William Pogrund,Neuropsychology of AI: Relationship Between Activation Proximity and Categorical Proximity Within Neural Categories of Synthetic Cognition
2024-10-08 12:34:13+00:00,Jourdan Wilson,Neuropsychology of AI: Relationship Between Activation Proximity and Categorical Proximity Within Neural Categories of Synthetic Cognition
2024-10-08 12:34:13+00:00,Michael Veillet-Guillem,Neuropsychology of AI: Relationship Between Activation Proximity and Categorical Proximity Within Neural Categories of Synthetic Cognition
2024-10-08 12:34:13+00:00,Anton Melkozerov,Neuropsychology of AI: Relationship Between Activation Proximity and Categorical Proximity Within Neural Categories of Synthetic Cognition
2024-10-08 12:34:13+00:00,Paloma Pichat,Neuropsychology of AI: Relationship Between Activation Proximity and Categorical Proximity Within Neural Categories of Synthetic Cognition
2024-10-08 12:34:13+00:00,Armanouche Gasparian,Neuropsychology of AI: Relationship Between Activation Proximity and Categorical Proximity Within Neural Categories of Synthetic Cognition
2024-10-08 12:34:13+00:00,Samuel Demarchi,Neuropsychology of AI: Relationship Between Activation Proximity and Categorical Proximity Within Neural Categories of Synthetic Cognition
2024-10-08 12:34:13+00:00,Judicael Poumay,Neuropsychology of AI: Relationship Between Activation Proximity and Categorical Proximity Within Neural Categories of Synthetic Cognition
2024-10-08 10:35:32+00:00,Luis Miguel Díaz,Towards an Autonomous Surface Vehicle Prototype for Artificial Intelligence Applications of Water Quality Monitoring
2024-10-08 10:35:32+00:00,Samuel Yanes Luis,Towards an Autonomous Surface Vehicle Prototype for Artificial Intelligence Applications of Water Quality Monitoring
2024-10-08 10:35:32+00:00,Alejandro Mendoza Barrionuevo,Towards an Autonomous Surface Vehicle Prototype for Artificial Intelligence Applications of Water Quality Monitoring
2024-10-08 10:35:32+00:00,Dame Seck Diop,Towards an Autonomous Surface Vehicle Prototype for Artificial Intelligence Applications of Water Quality Monitoring
2024-10-08 10:35:32+00:00,Manuel Perales,Towards an Autonomous Surface Vehicle Prototype for Artificial Intelligence Applications of Water Quality Monitoring
2024-10-08 10:35:32+00:00,Alejandro Casado,Towards an Autonomous Surface Vehicle Prototype for Artificial Intelligence Applications of Water Quality Monitoring
2024-10-08 10:35:32+00:00,Sergio Toral,Towards an Autonomous Surface Vehicle Prototype for Artificial Intelligence Applications of Water Quality Monitoring
2024-10-08 10:35:32+00:00,Daniel Gutiérrez,Towards an Autonomous Surface Vehicle Prototype for Artificial Intelligence Applications of Water Quality Monitoring
2024-10-03 14:42:34+00:00,Shiyang Zhang,Intelligence at the Edge of Chaos
2024-10-03 14:42:34+00:00,Aakash Patel,Intelligence at the Edge of Chaos
2024-10-03 14:42:34+00:00,Syed A Rizvi,Intelligence at the Edge of Chaos
2024-10-03 14:42:34+00:00,Nianchen Liu,Intelligence at the Edge of Chaos
2024-10-03 14:42:34+00:00,Sizhuang He,Intelligence at the Edge of Chaos
2024-10-03 14:42:34+00:00,Amin Karbasi,Intelligence at the Edge of Chaos
2024-10-03 14:42:34+00:00,Emanuele Zappala,Intelligence at the Edge of Chaos
2024-10-03 14:42:34+00:00,David van Dijk,Intelligence at the Edge of Chaos
2024-09-27 17:51:48+00:00,Junjun Huang,Artificial intelligence-based blockchain-driven financial default prediction
2024-09-25 20:23:25+00:00,Will Bridewell,The Technology of Outrage: Bias in Artificial Intelligence
2024-09-25 20:23:25+00:00,Paul F. Bello,The Technology of Outrage: Bias in Artificial Intelligence
2024-09-25 20:23:25+00:00,Selmer Bringsjord,The Technology of Outrage: Bias in Artificial Intelligence
2024-09-24 18:11:24+00:00,Ville Heilala,Beyond Text-to-Text: An Overview of Multimodal and Generative Artificial Intelligence for Education Using Topic Modeling
2024-09-24 18:11:24+00:00,Roberto Araya,Beyond Text-to-Text: An Overview of Multimodal and Generative Artificial Intelligence for Education Using Topic Modeling
2024-09-24 18:11:24+00:00,Raija Hämäläinen,Beyond Text-to-Text: An Overview of Multimodal and Generative Artificial Intelligence for Education Using Topic Modeling
2024-09-24 12:02:20+00:00,Suayb S. Arslan,Artificial Human Intelligence: The role of Humans in the Development of Next Generation AI
2024-09-24 09:19:55+00:00,Alberto Prieto,Five questions and answers about artificial intelligence
2024-09-24 09:19:55+00:00,Beatriz Prieto,Five questions and answers about artificial intelligence
2024-09-22 15:49:31+00:00,Yuri Gurevich,On a measure of intelligence
2024-09-19 19:22:52+00:00,Yijie Weng,Comprehensive Overview of Artificial Intelligence Applications in Modern Industries
2024-09-19 19:22:52+00:00,Jianhao Wu,Comprehensive Overview of Artificial Intelligence Applications in Modern Industries
2024-09-19 19:22:52+00:00,Tara Kelly,Comprehensive Overview of Artificial Intelligence Applications in Modern Industries
2024-09-19 19:22:52+00:00,William Johnson,Comprehensive Overview of Artificial Intelligence Applications in Modern Industries
2024-09-17 09:50:23+00:00,Anna Romanova,Fundamentals of legislation for autonomous artificial intelligence systems
2024-09-08 23:17:31+00:00,William J. Bingley,"Socially-Minded Intelligence: How Individuals, Groups, and AI Systems Can Make Each-Other Smarter (or Not)"
2024-09-08 23:17:31+00:00,S. Alexander Haslam,"Socially-Minded Intelligence: How Individuals, Groups, and AI Systems Can Make Each-Other Smarter (or Not)"
2024-09-08 23:17:31+00:00,Janet Wiles,"Socially-Minded Intelligence: How Individuals, Groups, and AI Systems Can Make Each-Other Smarter (or Not)"
2024-09-07 11:09:47+00:00,Yoshiki Fukada,Action is the primary key: a categorical framework for episode description and logical reasoning
2024-09-07 03:23:40+00:00,Jinjun Zeng,Building a human-like observer using deep learning in an extended Wigner's friend experiment
2024-09-07 03:23:40+00:00,Xiao Zhang,Building a human-like observer using deep learning in an extended Wigner's friend experiment
2024-09-05 09:57:14+00:00,Mattias Tiger,Exploratory Visual Analysis for Increasing Data Readiness in Artificial Intelligence Projects
2024-09-05 09:57:14+00:00,Daniel Jakobsson,Exploratory Visual Analysis for Increasing Data Readiness in Artificial Intelligence Projects
2024-09-05 09:57:14+00:00,Anders Ynnerman,Exploratory Visual Analysis for Increasing Data Readiness in Artificial Intelligence Projects
2024-09-05 09:57:14+00:00,Fredrik Heintz,Exploratory Visual Analysis for Increasing Data Readiness in Artificial Intelligence Projects
2024-09-05 09:57:14+00:00,Daniel Jönsson,Exploratory Visual Analysis for Increasing Data Readiness in Artificial Intelligence Projects
2024-09-04 08:59:38+00:00,Kostas Karpouzis,Artificial Intelligence in Education: Ethical Considerations and Insights from Ancient Greek Philosophy
2024-09-03 21:04:07+00:00,Jeremy Straub,Initial Development and Evaluation of the Creative Artificial Intelligence through Recurring Developments and Determinations (CAIRDD) System
2024-09-03 21:04:07+00:00,Zach Johnson,Initial Development and Evaluation of the Creative Artificial Intelligence through Recurring Developments and Determinations (CAIRDD) System
2024-09-02 07:29:37+00:00,Edward Y. Chang,Unlocking the Wisdom of Large Language Models: An Introduction to The Path to Artificial General Intelligence
2024-08-30 21:42:17+00:00,Melkamu Mersha,"Explainable Artificial Intelligence: A Survey of Needs, Techniques, Applications, and Future Direction"
2024-08-30 21:42:17+00:00,Khang Lam,"Explainable Artificial Intelligence: A Survey of Needs, Techniques, Applications, and Future Direction"
2024-08-30 21:42:17+00:00,Joseph Wood,"Explainable Artificial Intelligence: A Survey of Needs, Techniques, Applications, and Future Direction"
2024-08-30 21:42:17+00:00,Ali AlShami,"Explainable Artificial Intelligence: A Survey of Needs, Techniques, Applications, and Future Direction"
2024-08-30 21:42:17+00:00,Jugal Kalita,"Explainable Artificial Intelligence: A Survey of Needs, Techniques, Applications, and Future Direction"
2024-08-27 06:49:50+00:00,Jing Ren,Brain-inspired Artificial Intelligence: A Comprehensive Review
2024-08-27 06:49:50+00:00,Feng Xia,Brain-inspired Artificial Intelligence: A Comprehensive Review
2024-08-23 07:31:01+00:00,Qika Lin,Has Multimodal Learning Delivered Universal Intelligence in Healthcare? A Comprehensive Survey
2024-08-23 07:31:01+00:00,Yifan Zhu,Has Multimodal Learning Delivered Universal Intelligence in Healthcare? A Comprehensive Survey
2024-08-23 07:31:01+00:00,Xin Mei,Has Multimodal Learning Delivered Universal Intelligence in Healthcare? A Comprehensive Survey
2024-08-23 07:31:01+00:00,Ling Huang,Has Multimodal Learning Delivered Universal Intelligence in Healthcare? A Comprehensive Survey
2024-08-23 07:31:01+00:00,Jingying Ma,Has Multimodal Learning Delivered Universal Intelligence in Healthcare? A Comprehensive Survey
2024-08-23 07:31:01+00:00,Kai He,Has Multimodal Learning Delivered Universal Intelligence in Healthcare? A Comprehensive Survey
2024-08-23 07:31:01+00:00,Zhen Peng,Has Multimodal Learning Delivered Universal Intelligence in Healthcare? A Comprehensive Survey
2024-08-23 07:31:01+00:00,Erik Cambria,Has Multimodal Learning Delivered Universal Intelligence in Healthcare? A Comprehensive Survey
2024-08-23 07:31:01+00:00,Mengling Feng,Has Multimodal Learning Delivered Universal Intelligence in Healthcare? A Comprehensive Survey
2024-08-22 11:25:08+00:00,Yesim Aygul,Tipta uzmanlik sinavinda (tus) buyuk dil modelleri insanlardan daha mi basarili?
2024-08-22 11:25:08+00:00,Muge Olucoglu,Tipta uzmanlik sinavinda (tus) buyuk dil modelleri insanlardan daha mi basarili?
2024-08-22 11:25:08+00:00,Adil Alpkocak,Tipta uzmanlik sinavinda (tus) buyuk dil modelleri insanlardan daha mi basarili?
2024-08-22 09:39:16+00:00,Torben Swoboda,Can Artificial Intelligence Embody Moral Values?
2024-08-22 09:39:16+00:00,Lode Lauwaert,Can Artificial Intelligence Embody Moral Values?
2024-08-20 10:55:17+00:00,Matthias Klusch,Quantum Artificial Intelligence: A Brief Survey
2024-08-20 10:55:17+00:00,Jörg Lässig,Quantum Artificial Intelligence: A Brief Survey
2024-08-20 10:55:17+00:00,Daniel Müssig,Quantum Artificial Intelligence: A Brief Survey
2024-08-20 10:55:17+00:00,Antonio Macaluso,Quantum Artificial Intelligence: A Brief Survey
2024-08-20 10:55:17+00:00,Frank K. Wilhelm,Quantum Artificial Intelligence: A Brief Survey
2024-08-05 20:21:54+00:00,Zach Johnson,Development of REGAI: Rubric Enabled Generative Artificial Intelligence
2024-08-05 20:21:54+00:00,Jeremy Straub,Development of REGAI: Rubric Enabled Generative Artificial Intelligence
2024-08-04 02:18:42+00:00,Kari D. Weaver,The Artificial Intelligence Disclosure (AID) Framework: An Introduction
2024-08-03 14:39:40+00:00,Cuixia Li,Review of Cloud Service Composition for Intelligent Manufacturing
2024-08-03 14:39:40+00:00,Liqiang Liu,Review of Cloud Service Composition for Intelligent Manufacturing
2024-08-03 14:39:40+00:00,Li Shi,Review of Cloud Service Composition for Intelligent Manufacturing
2024-07-31 16:24:52+00:00,Alberto Pasqualetto,Artificial Intelligence Approaches for Energy Efficiency: A Review
2024-07-31 16:24:52+00:00,Lorenzo Serafini,Artificial Intelligence Approaches for Energy Efficiency: A Review
2024-07-31 16:24:52+00:00,Michele Sprocatti,Artificial Intelligence Approaches for Energy Efficiency: A Review
2024-07-26 18:17:58+00:00,T. Shaska,Artificial neural networks on graded vector spaces
2024-07-24 17:41:32+00:00,Markus Iser,Automated Explanation Selection for Scientific Discovery
2024-07-24 07:15:21+00:00,Jon Danielsson,Artificial intelligence and financial crises
2024-07-24 07:15:21+00:00,Andreas Uthemann,Artificial intelligence and financial crises
2024-07-18 16:50:18+00:00,Koosha Shirouyeh,Predicting Star Scientists in the Field of Artificial Intelligence: A Machine Learning Approach
2024-07-18 16:50:18+00:00,Andrea Schiffauerova,Predicting Star Scientists in the Field of Artificial Intelligence: A Machine Learning Approach
2024-07-18 16:50:18+00:00,Ashkan Ebadi,Predicting Star Scientists in the Field of Artificial Intelligence: A Machine Learning Approach
2024-07-12 07:16:22+00:00,Naiyao Wang,KUNPENG: An Embodied Large Model for Intelligent Maritime
2024-07-12 07:16:22+00:00,Tongbang Jiang,KUNPENG: An Embodied Large Model for Intelligent Maritime
2024-07-12 07:16:22+00:00,Ye Wang,KUNPENG: An Embodied Large Model for Intelligent Maritime
2024-07-12 07:16:22+00:00,Shaoyang Qiu,KUNPENG: An Embodied Large Model for Intelligent Maritime
2024-07-12 07:16:22+00:00,Bo Zhang,KUNPENG: An Embodied Large Model for Intelligent Maritime
2024-07-12 07:16:22+00:00,Xinqiang Xie,KUNPENG: An Embodied Large Model for Intelligent Maritime
2024-07-12 07:16:22+00:00,Munan Li,KUNPENG: An Embodied Large Model for Intelligent Maritime
2024-07-12 07:16:22+00:00,Chunliu Wang,KUNPENG: An Embodied Large Model for Intelligent Maritime
2024-07-12 07:16:22+00:00,Yiyang Wang,KUNPENG: An Embodied Large Model for Intelligent Maritime
2024-07-12 07:16:22+00:00,Hongxiang Ren,KUNPENG: An Embodied Large Model for Intelligent Maritime
2024-07-12 07:16:22+00:00,Ruili Wang,KUNPENG: An Embodied Large Model for Intelligent Maritime
2024-07-12 07:16:22+00:00,Hongjun Shan,KUNPENG: An Embodied Large Model for Intelligent Maritime
2024-07-12 07:16:22+00:00,Hongbo Liu,KUNPENG: An Embodied Large Model for Intelligent Maritime
2024-07-09 12:40:58+00:00,Yuliya Lierler,"Historical Review of Variants of Informal Semantics for Logic Programs under Answer Set Semantics: GL'88, GL'91, GK'14, D-V'12"
2024-07-08 15:02:39+00:00,Dylan Seychell,AI as a Tool for Fair Journalism: Case Studies from Malta
2024-07-08 15:02:39+00:00,Gabriel Hili,AI as a Tool for Fair Journalism: Case Studies from Malta
2024-07-08 15:02:39+00:00,Jonathan Attard,AI as a Tool for Fair Journalism: Case Studies from Malta
2024-07-08 15:02:39+00:00,Konstantinos Makantatis,AI as a Tool for Fair Journalism: Case Studies from Malta
2024-07-07 12:31:13+00:00,Jakob Mokander,The US Algorithmic Accountability Act of 2022 vs. The EU Artificial Intelligence Act: What can they learn from each other?
2024-07-07 12:31:13+00:00,Prathm Juneja,The US Algorithmic Accountability Act of 2022 vs. The EU Artificial Intelligence Act: What can they learn from each other?
2024-07-07 12:31:13+00:00,David Watson,The US Algorithmic Accountability Act of 2022 vs. The EU Artificial Intelligence Act: What can they learn from each other?
2024-07-07 12:31:13+00:00,Luciano Floridi,The US Algorithmic Accountability Act of 2022 vs. The EU Artificial Intelligence Act: What can they learn from each other?
2024-07-04 17:57:56+00:00,Cristian Chica,Artificial Intelligence and Algorithmic Price Collusion in Two-sided Markets
