title,performers,event_dates,price,venue,location,contact_information,description,genres,source_url,cluster
In Concert on Downtown’s Transit Mall – Jay Ringer and the Bells,Jay Ringer and the Bells,12th March 2026 12:00 PM - 1:00 PM,Not provided in source.,Pioneer Courthouse Square,Not provided in source.,Not provided in source.,"Trumpeter, pianist, guitarist, and vocalist Jay Ringer performs with a smooth and peaceful sound unique to him.",Not provided in source.,https://dopdx.com/events/2026/3/12/in-concert-on-downtown-s-transit-mall-jay-ringer-and-the-bells-at-pioneer-place-tickets,1
Black Flag,Black Flag,"Wednesday, January 21st, 2026 8:00 PM",Not provided in source.,Hawthorne Theatre,"1507 SE 39th Ave, Portland, OR 97214",gm@hawthornetheatre.com,Black Flag will be performing at the Hawthorne Theatre. The event is open to all ages and a bar will be available with valid photo ID.,Not provided in source.,https://hawthornetheatre.com/event/black-flag-2/hawthorne-theatre/portland-oregon/,1
GrindHouse disco~glam~metal~punk,Not provided in source.,"February 7, 2026, at 11:30 PM PST",$1.05,Dante's Live,"350 W Burnside St, Portland, OR, 97209, US","(866) 777-8932, DantesStarTheater@gmail.com","This event features GrindHouse, presenting a mix of disco, glam, metal, and punk music.","disco, glam, metal, punk",https://www.danteslive.com/tm-event/grindhouse-discoglammetalpunk-19/,23
Grrrl Gang + Tradie + Shanea,"Grrrl Gang, Tradie, Shanea","March 27, 2026, 8:00 PM",$18.00 +$2.70 fee +$0.52 ticket service fee,Swan Dive,"727 SE Grand Ave, Portland, OR 97214, USA",joelchristerson@gmail.com,"A music event featuring performances by Grrrl Gang, Tradie, and Shanea.",Not provided in source.,https://www.lonelygodpdx.com/events/grrrl-gang-tradie-shanea-swan-dive,1
A Legacy In Motion: Moving the Dream Forward,Not provided in source.,"Monday, January 19, 2026, 11:00 AM - 2:30 PM",Free,Life Change Church,3635 N. Williams Ave.,worldartsfoundation.org,"The annual ""Keep Alive the Dream"" tribute to Martin Luther King Jr. features drumming, spoken word, music, storytelling performances, education, and cultural expression along with community displays.",Not provided in source.,https://hereisoregon.com/events/2026/01/mlk-jr-day-2026-commemoration-events-list-of-government-service-closures.html,1
BURLY-Q REVUE,Not provided in source.,"11 April 2026, 10:30 PM PDT",Not provided in source.,Jack London Revue,"529 SW 4th Ave., Portland, OR 97204",Not provided in source.,"Join us at the Jack London for the latest edition of our late-night cabaret spectacular, hosted by the Mad Marquis and featuring some of the finest dancers from the Rose City and beyond. Treat yourself to a sensational evening of sultry and exotic delights, liberally spiced with old-fashioned spontaneous fun! The show starts after the evening's musical performance.",Cabaret,https://www.ticketweb.com/event/burly-q-revue-jack-london-revue-tickets/14021434,24
Pitchside Preview,Morgan Weaver,"Sunday, March 1, 2026, 4:00 PM",Free,Providence Park,"1844 SW Morrison, Portland, OR 97205",Not provided in source.,"Get a first look at the returning stars and new faces of the Thorns’ 2026 roster at this open practice on the pitch, including the opportunity to take photos, check out seat locations, and listen to a live recording of the women's sports podcast The Epicenter.",Not provided in source.,https://everout.com/portland/events/pitchside-preview/e231424/,1
"CHLORINE with Never Sunny, Still Golden and Nowhere Fast","Chlorine, Never Sunny, Still Golden, Nowhere Fast","20 February 2026, 8:00 pm PST",$20.06,Star Theater,"13 NW Sixth Avenue, Portland, OR 97209","(866) 777-8932, dantesstartheater@gmail.com","A live performance featuring the artists Chlorine, Never Sunny, Still Golden, and Nowhere Fast.",Not provided in source.,https://www.startheaterportland.com/tm-event/chlorine-with-never-sunny-still-golden-and-nowhere-fast/,1
Jamming in Symphony: A Tribute to the Legendary Music of Bob Marley,"Oregon Symphony, Martin Herman (Conductor), Natasha Pearce (Vocals)","February 19, 2026, 7:30 PM",Not provided in source.,Arlene Schnitzer Concert Hall,"Portland, OR",503.228.1353,"A tribute concert honoring Bob Marley's music, featuring a collection of his beloved songs, curated by his son Ziggy Marley and performed by the Oregon Symphony and members of Ziggy's touring band.",Not provided in source.,https://www.orsymphony.org/productions/2526/jamming-in-symphony-a-tribute-to-the-legendary-music-of-bob-marley,1
Everybody Reads 2026: Justice Ketanji Brown Jackson,Justice Ketanji Brown Jackson,12th March 2026 at 7:30 PM,Starting at $35,Arlene Schnitzer Concert Hall,"Portland, Oregon",Not provided in source.,"Literary Arts presents Justice Ketanji Brown Jackson at the Arlene Schnitzer Concert Hall as part of the culminating event of the Everybody Reads program. This event highlights themes from her memoir, Lovely One, and the importance of mentorship and perseverance.",Not provided in source.,https://dopdx.com/events/2026/3/12/everybody-reads-2026-justice-ketanji-brown-jackson-tickets,1
Garden Tea Tastings with Hannah Ma,Hannah Ma,"March 21, 2026, at 11:00 AM",$36.95 – $55.95,Lan Su Chinese Garden,"239 NW Everett Street, Portland, Oregon 97209",503-228-8131 | [email protected],"Join tea master Hannah Ma for a Korean tea tasting experience where you will savor three seasonal teas, learn traditional brewing techniques, and explore the rich history of tea culture in China. The ticket includes admission to the garden and a porcelain teacup to take home.",Not provided in source.,https://lansugarden.org/event/garden-tea-tasting-11am/2026-03-21/,1
Fcukers,fcukers with RIP Magic,"April 10, 2026, 8 pm",$34 to $56.25,Wonder Ballroom,"Portland, Oregon",Not provided in source.,"Fcukers is a band known for their energetic live shows, which combine various music genres. They are releasing their debut album, Ö, featuring a blend of dub, UK garage, trip-hop, and 2000s hip-hop.","dub, UK garage, trip-hop, 2000s hip-hop",https://wonderballroom.com/event/fcukers/wonder-ballroom/portland-oregon/,25
Dark Tranquillity x Soen,"Dark Tranquillity, Soen, Persefone","Saturday, April 4th, 2026, 7:00 PM",Not provided in source.,Hawthorne Theatre,"1507 SE 39th Ave, Portland, OR 97214",gm@hawthornetheatre.com,"A concert featuring Dark Tranquillity and Soen with Persefone, specifically for ages 21 and up.",Not provided in source.,https://hawthornetheatre.com/event/dark-tranquillity-x-soen/hawthorne-theatre/portland-oregon/,1
Creative Learning: Intro to 3D Printing,Not provided in source.,"Monday, March 02, 2026, 2:00 PM - 4:00 PM",Not provided in source.,Albina Library - Albina Large Community Room 2A,"216 NE Knott Street, Portland, OR, 97212",Albina Library Phone: 503-988-5123,"Learn to prepare an existing model for 3D printing on one of the library's Bambu X1 Carbon printers, then start experimenting with 3D modeling. All materials will be provided. Space is limited and registration is required.","Computers and technology, STEAM",https://events.multcolib.org/event/15084064&registration=true,26
Peaches Goes Bananas,Not provided in source.,"March 14, 2026 7:00 pm - 9:00 pm",Free Members $27.50 Adults $24.50 Seniors 65+ $22.50 Students Free Children 17 and under,PAM CUT’s Tomorrow Theater,"3530 SE Division St., Portland, OR 97202","tomorrow@pamcut.org, 503-221-1156",Peaches Goes Bananas is an event taking place at the Portland Art Museum’s Tomorrow Theater.,Not provided in source.,https://portlandartmuseum.org/event/peaches-goes-bananas/,1
Portland Winter Light Festival,Not provided in source.,"Friday, February 6, 2026, at 2:48 PM",Not provided in source.,"Various locations including Pioneer Courthouse Square, World Trade Center Plaza, and the Electric Blocks.","Portland, Oregon",Not provided in source.,The Portland Winter Light Festival features over 200 light-based art installations and live events across the city. This year's theme is “The Light Of The Stars” and the festival runs through February 11.,"Light installations, Art",https://katu.com/news/local/portland-winter-light-festival-brightens-up-rose-city-with-2026-return,27
Fox Stevenson,"Fox Stevenson, Yue","Tuesday, February 24, 2026",$35.49,Hawthorne Theatre,"1507 SE Cesar E. Chavez, Portland, OR 97214",Not provided in source.,"Fox Stevenson will perform live at the Hawthorne Theatre in Portland, with support from Yue.",EDM/House/Techno,https://everout.com/portland/events/fox-stevenson/e219713/,28
HRC Portland 2026 SheBrew Beer Festival,Not provided in source.,"Saturday, March 7, 2026, Two Sessions: 11:00 AM - 3:00 PM and 4:00 - 7:00 PM PT","General Admission: $40 - $75, Designated Driver Ticket: $10, Under 21 Ticket: Free",Portland Art Museum,"1119 SW Park Ave, Portland, OR 97205",Not provided in source.,"The SheBrew Beer Festival celebrates women in the craft beer and cider world, featuring a nationwide homebrewer’s competition and honoring female brewers and cider makers. Proceeds from the fest go to the Human Rights Campaign, and the event is open to all ages, with alcohol consumption limited to guests 21 and older.",Not provided in source.,https://act.hrc.org/page/184430/event/1,1
